"Tao Nan Primary School Hall", "",
"Teck Whye Primary School Hall", "",
"Temasek Primary School Hall", "",
"Temasek Secondary School Hall", "",
"Toa Payoh Sports Hall", "",
"Townsville Primary School Hall", "",
"Unity Primary School Hall", "",
"Unity Secondary School Hall", "",
"Waterway Primary School Hall", "",
"West Spring Secondary School Hall", "",
"Westwood Secondary School Hall", "",
"Woodlands Ring Primary School Hall", "",
"Woodlands Secondary School Hall", "",
"Woodlands Sports Hall", "",
"Xing Hua Primary School", "",
"Xishan Primary School Hall", "",
"Yio Chu Kang Primary School Hall", "",
"Yio Chu Kang Secondary School Hall", "",
"Yio Chu Kang Sports Hall", "",
"Yishun Primary School Hall", "",
"Yishun Secondary School Hall", "",
"Yishun Sports Hall", "",
"Yishun Town Secondary School Hall", "",
"Yuan Ching Secondary School Hall", "",
"Yusof Ishak Secondary School Hall", "",
"Yuying Secondary School Hall", "",
"Zhangde Primary School Hall", "",
"Zhonghua Primary School Hall", "",
